gene_id	CL	CR	CO	KI	LI	LU	MG	OV	PA	SP	ST
ENSCAFG00000000001	0.441986119	0.236943162	2.720396285	6.26021099	25.97022375	1.840784286	6.56937812	20.29570057	2.190147059	1.685688312	1.58913314
ENSCAFG00000000002	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000000005	0.678486406	0.208614521	0.388855745	0.543337259	2.012010521	1.333510096	2.092610762	0.525787797	0.120213904	0.22408808	0.278186758
ENSCAFG00000000007	3.516004198	3.044045544	4.032698476	4.124173746	2.287167342	3.021294049	3.866374292	4.460108345	3.726631016	4.128997824	3.784193991
ENSCAFG00000000008	56.5072742	52.12171912	31.77547125	42.32649504	65.67642868	28.05575259	25.97154216	25.92838213	159.4224198	20.5213461	64.24836472
ENSCAFG00000000009	25.01144264	20.24556383	6.493065844	32.14144883	28.00589845	19.93006336	11.50866327	10.31718508	15.01546791	10.69338391	11.4518298
ENSCAFG00000000010	6.686455125	6.387896723	6.293668669	6.004528238	17.37561543	6.071755627	8.552539963	5.606470518	12.55483957	7.57091132	5.908923791
ENSCAFG00000000011	0.842457749	0.718050239	1.129094317	1.321955593	2.005279067	5.414333775	3.148444866	0.995131616	0.398208556	4.747292323	0.837976603
ENSCAFG00000000012	4.31504841	4.749009569	8.151656545	5.742478519	6.230480342	4.192336251	7.731590343	7.614603093	11.32264706	4.986736516	5.606142953
ENSCAFG00000000013	0.369283013	1.057793621	0	0.546897283	0.216308654	0	0	0.071110703	0	0	0
ENSCAFG00000000014	0	0.224616639	3.172696585	1.361846119	0.338376963	0.15083499	3.892098925	4.453256234	3.5125	0.849986188	2.229869056
ENSCAFG00000000015	0.031694361	0.013752039	0.141672005	0.247261926	0.039764151	0.04612852	0.052388511	0.095325124	0.157780749	0.034930939	0.101444043
ENSCAFG00000000016	3083.974824	3231.235744	12.99863308	15.93729197	20.2191339	11.77559419	9.342552865	5.069553771	24.11791444	18.53343916	10.19015873
ENSCAFG00000000017	4.175171881	4.605619405	4.288601935	3.920613397	2.640533933	4.301399246	4.124949187	6.195431226	3.163128342	5.769898299	3.878404481
ENSCAFG00000000019	1.141030486	1.324043721	3.905121788	4.446196177	1.250801146	3.57018003	1.780046258	3.209916065	2.325387701	2.510908176	2.722569876
ENSCAFG00000000020	6.418926987	6.036404478	6.705308197	5.347749444	2.680436876	4.612195706	5.465856601	11.97105894	2.637192513	6.177257175	8.335214311
ENSCAFG00000000021	11.65727503	12.5263281	12.14085018	12.54954115	39.61696113	6.781249064	8.867669143	6.207771901	16.77359626	8.586390153	11.30916322
ENSCAFG00000000022	16.00886758	6.244739486	6.099522078	5.43967109	2.90160328	4.336075738	5.724665091	5.206151977	3.392286096	4.788169165	5.982758321
ENSCAFG00000000024	13.45880287	9.479459476	8.703936714	34.94724983	0.313463647	0.037555003	0.391339499	0.057764556	0	0.446607791	2.036741908
ENSCAFG00000000025	5.707697891	8.406264689	0	0.013213166	0.30777314	0.197123715	0	0.137368783	0	0.068273657	0.010144404
ENSCAFG00000000026	19.10421061	22.64786619	61.1977433	114.2639008	2064.860061	68.14501805	89.58862138	636.1045086	54.80627005	53.69828365	32.12635243
ENSCAFG00000000027	0	0.199898374	0.144547325	0	0	0	0	0.082294082	0	0	0
ENSCAFG00000000028	14.20920865	19.17646857	16.97585663	19.70911462	33.68280352	14.54888672	14.70063464	17.23125723	66.82766043	17.93415368	17.54922687
ENSCAFG00000000029	0.421079831	1.635831145	0.131608386	0.648563354	0.247328855	2.219078462	0.064087719	0.548578514	0.262967914	0.094727466	0.093931606
ENSCAFG00000000030	0.855938654	1.342519529	4.075640752	2.385033541	0.49465771	0.934906141	1.322633484	2.039969682	1.029331551	3.25932762	1.969530872
ENSCAFG00000000031	3.369921429	16.92362647	0.040473251	0.013213166	0	0.200658546	0.10045065	0	0	0.228683995	0.06398644
ENSCAFG00000000032	4.037201099	16.70876018	0.880597931	0.123322884	1.179669811	0.189940358	0.512701754	10.99000108	28.77995989	0	0
ENSCAFG00000000033	0.061322208	0.073344209	0.179238683	0	0	0	0	0.102867602	0	0	0
ENSCAFG00000000034	0	0	0	0	0	0	0	0.236807465	0	0	0
ENSCAFG00000000036	5.696099289	6.369122767	17.16109598	9.035523576	15.38185617	7.962632199	10.6145352	10.78901823	12.83659091	20.84060834	8.712317727
ENSCAFG00000000037	1.694032275	1.273312113	2.300755867	0.933753228	1.096532895	1.81770969	1.23139523	2.591232321	1.55526738	2.391166226	1.391317255
ENSCAFG00000000038	0.018035944	0.128352365	1.77313469	0.715724576	1.548373012	2.588054945	0.408615784	0.455313033	0.251697861	5.315994616	0.500387559
ENSCAFG00000000039	2.377271327	25.09595276	0.263123012	0.538567739	0.058848168	1.624622092	0.014789474	1.247714405	7.934117647	0	0.372414679
ENSCAFG00000000040	0.105221393	0.153979048	0.203928929	0.03523511	0.445872024	6.376035388	0.251435652	0.130722923	0.202860963	0.011643646	0.429272148
ENSCAFG00000000042	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000000043	7.225145384	9.347916004	17.57889245	14.52697476	6.379127482	12.53677162	25.80584555	13.29848069	22.1418984	12.37261014	19.92153591
ENSCAFG00000000044	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000000045	0.056944682	0	0	0	0.073560209	0.04612852	0.268137684	0.126342957	0	0.069861878	0.065938628
