Gene	Tissue	Group
ENSCAFG00000000007	All	Expressed-In-All
ENSCAFG00000000008	All	Expressed-In-All
ENSCAFG00000000009	All	Expressed-In-All
ENSCAFG00000000010	All	Expressed-In-All
ENSCAFG00000000012	All	Expressed-In-All
ENSCAFG00000000017	All	Expressed-In-All
ENSCAFG00000000019	All	Expressed-In-All
ENSCAFG00000000020	All	Expressed-In-All
ENSCAFG00000000021	All	Expressed-In-All
ENSCAFG00000000022	All	Expressed-In-All
ENSCAFG00000000028	All	Expressed-In-All
ENSCAFG00000000036	All	Expressed-In-All
ENSCAFG00000000043	All	Expressed-In-All
ENSCAFG00000000060	All	Expressed-In-All
ENSCAFG00000000061	All	Expressed-In-All
ENSCAFG00000000064	All	Expressed-In-All
ENSCAFG00000000066	All	Expressed-In-All
ENSCAFG00000000067	All	Expressed-In-All
ENSCAFG00000000069	All	Expressed-In-All
ENSCAFG00000000070	All	Expressed-In-All
ENSCAFG00000000071	All	Expressed-In-All
ENSCAFG00000000073	All	Expressed-In-All
ENSCAFG00000000076	All	Expressed-In-All
ENSCAFG00000000078	All	Expressed-In-All
ENSCAFG00000000079	All	Expressed-In-All
ENSCAFG00000000083	All	Expressed-In-All
ENSCAFG00000000087	All	Expressed-In-All
ENSCAFG00000000088	All	Expressed-In-All
ENSCAFG00000000094	All	Expressed-In-All
ENSCAFG00000000102	All	Expressed-In-All
ENSCAFG00000000103	All	Expressed-In-All
ENSCAFG00000000105	All	Expressed-In-All
ENSCAFG00000000108	All	Expressed-In-All
ENSCAFG00000000109	All	Expressed-In-All
ENSCAFG00000000111	All	Expressed-In-All
ENSCAFG00000000113	All	Expressed-In-All
ENSCAFG00000000115	All	Expressed-In-All
ENSCAFG00000000116	All	Expressed-In-All
ENSCAFG00000000119	All	Expressed-In-All
ENSCAFG00000000121	All	Expressed-In-All
ENSCAFG00000000125	All	Expressed-In-All
ENSCAFG00000000130	All	Expressed-In-All
ENSCAFG00000000132	All	Expressed-In-All
ENSCAFG00000000133	All	Expressed-In-All
ENSCAFG00000000134	All	Expressed-In-All
ENSCAFG00000000135	All	Expressed-In-All
ENSCAFG00000000136	All	Expressed-In-All
ENSCAFG00000000137	All	Expressed-In-All
ENSCAFG00000000140	All	Expressed-In-All
ENSCAFG00000000141	All	Expressed-In-All
ENSCAFG00000000142	All	Expressed-In-All
ENSCAFG00000000147	All	Expressed-In-All
ENSCAFG00000000149	All	Expressed-In-All
ENSCAFG00000000150	All	Expressed-In-All
ENSCAFG00000000153	All	Expressed-In-All
ENSCAFG00000000160	All	Expressed-In-All
ENSCAFG00000000162	All	Expressed-In-All
ENSCAFG00000000163	All	Expressed-In-All
ENSCAFG00000000164	All	Expressed-In-All
ENSCAFG00000000166	All	Expressed-In-All
ENSCAFG00000000167	All	Expressed-In-All
ENSCAFG00000000168	All	Expressed-In-All
ENSCAFG00000000172	All	Expressed-In-All
ENSCAFG00000000173	All	Expressed-In-All
ENSCAFG00000000175	All	Expressed-In-All
ENSCAFG00000000178	All	Expressed-In-All
ENSCAFG00000000185	All	Expressed-In-All
ENSCAFG00000000189	All	Expressed-In-All
ENSCAFG00000000192	All	Expressed-In-All
ENSCAFG00000000195	All	Expressed-In-All
ENSCAFG00000000197	All	Expressed-In-All
ENSCAFG00000000203	All	Expressed-In-All
ENSCAFG00000000204	All	Expressed-In-All
ENSCAFG00000000207	All	Expressed-In-All
ENSCAFG00000000209	All	Expressed-In-All
ENSCAFG00000000210	All	Expressed-In-All
ENSCAFG00000000214	All	Expressed-In-All
ENSCAFG00000000215	All	Expressed-In-All
ENSCAFG00000000217	All	Expressed-In-All
ENSCAFG00000000219	All	Expressed-In-All
ENSCAFG00000000224	All	Expressed-In-All
ENSCAFG00000000226	All	Expressed-In-All
ENSCAFG00000000228	All	Expressed-In-All
ENSCAFG00000000229	All	Expressed-In-All
ENSCAFG00000000231	All	Expressed-In-All
ENSCAFG00000000233	All	Expressed-In-All
ENSCAFG00000000234	All	Expressed-In-All
ENSCAFG00000000236	All	Expressed-In-All
ENSCAFG00000000240	All	Expressed-In-All
ENSCAFG00000000241	All	Expressed-In-All
ENSCAFG00000000242	All	Expressed-In-All
ENSCAFG00000000245	All	Expressed-In-All
ENSCAFG00000000248	All	Expressed-In-All
ENSCAFG00000000249	All	Expressed-In-All
ENSCAFG00000000251	All	Expressed-In-All
ENSCAFG00000000253	All	Expressed-In-All
ENSCAFG00000000259	All	Expressed-In-All
ENSCAFG00000000260	All	Expressed-In-All
ENSCAFG00000000272	All	Expressed-In-All
ENSCAFG00000000274	All	Expressed-In-All
ENSCAFG00000000277	All	Expressed-In-All
ENSCAFG00000000278	All	Expressed-In-All
ENSCAFG00000000279	All	Expressed-In-All
ENSCAFG00000000280	All	Expressed-In-All
ENSCAFG00000000281	All	Expressed-In-All
ENSCAFG00000000282	All	Expressed-In-All
ENSCAFG00000000285	All	Expressed-In-All
ENSCAFG00000000290	All	Expressed-In-All
ENSCAFG00000000293	All	Expressed-In-All
ENSCAFG00000000295	All	Expressed-In-All
ENSCAFG00000000300	All	Expressed-In-All
ENSCAFG00000000303	All	Expressed-In-All
ENSCAFG00000000305	All	Expressed-In-All
ENSCAFG00000000307	All	Expressed-In-All
ENSCAFG00000000308	All	Expressed-In-All
ENSCAFG00000000309	All	Expressed-In-All
ENSCAFG00000000310	All	Expressed-In-All
ENSCAFG00000000312	All	Expressed-In-All
ENSCAFG00000000314	All	Expressed-In-All
ENSCAFG00000000316	All	Expressed-In-All
ENSCAFG00000000320	All	Expressed-In-All
ENSCAFG00000000323	All	Expressed-In-All
ENSCAFG00000000326	All	Expressed-In-All
ENSCAFG00000000329	All	Expressed-In-All
ENSCAFG00000000330	All	Expressed-In-All
ENSCAFG00000000333	All	Expressed-In-All
ENSCAFG00000000335	All	Expressed-In-All
ENSCAFG00000000336	All	Expressed-In-All
ENSCAFG00000000337	All	Expressed-In-All
ENSCAFG00000000341	All	Expressed-In-All
ENSCAFG00000000344	All	Expressed-In-All
ENSCAFG00000000348	All	Expressed-In-All
ENSCAFG00000000350	All	Expressed-In-All
ENSCAFG00000000352	All	Expressed-In-All
ENSCAFG00000000353	All	Expressed-In-All
ENSCAFG00000000355	All	Expressed-In-All
ENSCAFG00000000356	All	Expressed-In-All
ENSCAFG00000000359	All	Expressed-In-All
ENSCAFG00000000360	All	Expressed-In-All
ENSCAFG00000000366	All	Expressed-In-All
ENSCAFG00000000370	All	Expressed-In-All
ENSCAFG00000000372	All	Expressed-In-All
ENSCAFG00000000373	All	Expressed-In-All
ENSCAFG00000000379	All	Expressed-In-All
ENSCAFG00000000380	All	Expressed-In-All
ENSCAFG00000000381	All	Expressed-In-All
ENSCAFG00000000385	All	Expressed-In-All
ENSCAFG00000000387	All	Expressed-In-All
ENSCAFG00000000388	All	Expressed-In-All
ENSCAFG00000000390	All	Expressed-In-All
ENSCAFG00000000393	All	Expressed-In-All
ENSCAFG00000000394	All	Expressed-In-All
ENSCAFG00000000395	All	Expressed-In-All
ENSCAFG00000000396	All	Expressed-In-All
ENSCAFG00000000397	All	Expressed-In-All
ENSCAFG00000000398	All	Expressed-In-All
ENSCAFG00000000400	All	Expressed-In-All
ENSCAFG00000000406	All	Expressed-In-All
ENSCAFG00000000407	All	Expressed-In-All
ENSCAFG00000000411	All	Expressed-In-All
ENSCAFG00000000412	All	Expressed-In-All
ENSCAFG00000000413	All	Expressed-In-All
ENSCAFG00000000415	All	Expressed-In-All
ENSCAFG00000000416	All	Expressed-In-All
ENSCAFG00000000417	All	Expressed-In-All
ENSCAFG00000000418	All	Expressed-In-All
ENSCAFG00000000419	All	Expressed-In-All
ENSCAFG00000000422	All	Expressed-In-All
ENSCAFG00000000423	All	Expressed-In-All
ENSCAFG00000000424	All	Expressed-In-All
ENSCAFG00000000425	All	Expressed-In-All
ENSCAFG00000000426	All	Expressed-In-All
ENSCAFG00000000427	All	Expressed-In-All
ENSCAFG00000000428	All	Expressed-In-All
ENSCAFG00000000431	All	Expressed-In-All
ENSCAFG00000000432	All	Expressed-In-All
ENSCAFG00000000436	All	Expressed-In-All
ENSCAFG00000000441	All	Expressed-In-All
ENSCAFG00000000442	All	Expressed-In-All
ENSCAFG00000000443	All	Expressed-In-All
ENSCAFG00000000444	All	Expressed-In-All
ENSCAFG00000000445	All	Expressed-In-All
ENSCAFG00000000446	All	Expressed-In-All
ENSCAFG00000000447	All	Expressed-In-All
ENSCAFG00000000453	All	Expressed-In-All
ENSCAFG00000000454	All	Expressed-In-All
ENSCAFG00000000458	All	Expressed-In-All
ENSCAFG00000000459	All	Expressed-In-All
ENSCAFG00000000460	All	Expressed-In-All
ENSCAFG00000000464	All	Expressed-In-All
ENSCAFG00000000469	All	Expressed-In-All
ENSCAFG00000000478	All	Expressed-In-All
ENSCAFG00000000484	All	Expressed-In-All
ENSCAFG00000000507	All	Expressed-In-All
ENSCAFG00000000509	All	Expressed-In-All
ENSCAFG00000000512	All	Expressed-In-All
ENSCAFG00000000529	All	Expressed-In-All
ENSCAFG00000000530	All	Expressed-In-All
ENSCAFG00000000533	All	Expressed-In-All
ENSCAFG00000000534	All	Expressed-In-All
ENSCAFG00000000535	All	Expressed-In-All
ENSCAFG00000000543	All	Expressed-In-All
ENSCAFG00000000549	All	Expressed-In-All
ENSCAFG00000000554	All	Expressed-In-All
ENSCAFG00000000555	All	Expressed-In-All
ENSCAFG00000000557	All	Expressed-In-All
ENSCAFG00000000562	All	Expressed-In-All
ENSCAFG00000000563	All	Expressed-In-All
ENSCAFG00000000564	All	Expressed-In-All
ENSCAFG00000000566	All	Expressed-In-All
ENSCAFG00000000567	All	Expressed-In-All
ENSCAFG00000000569	All	Expressed-In-All
ENSCAFG00000000570	All	Expressed-In-All
ENSCAFG00000000572	All	Expressed-In-All
ENSCAFG00000000575	All	Expressed-In-All
ENSCAFG00000000579	All	Expressed-In-All
ENSCAFG00000000580	All	Expressed-In-All
ENSCAFG00000000582	All	Expressed-In-All
ENSCAFG00000000584	All	Expressed-In-All
ENSCAFG00000000586	All	Expressed-In-All
ENSCAFG00000000590	All	Expressed-In-All
ENSCAFG00000000593	All	Expressed-In-All
ENSCAFG00000000594	All	Expressed-In-All
ENSCAFG00000000600	All	Expressed-In-All
ENSCAFG00000000601	All	Expressed-In-All
ENSCAFG00000000602	All	Expressed-In-All
ENSCAFG00000000603	All	Expressed-In-All
ENSCAFG00000000604	All	Expressed-In-All
ENSCAFG00000000607	All	Expressed-In-All
ENSCAFG00000000608	All	Expressed-In-All
ENSCAFG00000000612	All	Expressed-In-All
ENSCAFG00000000616	All	Expressed-In-All
ENSCAFG00000000617	All	Expressed-In-All
ENSCAFG00000000619	All	Expressed-In-All
ENSCAFG00000000620	All	Expressed-In-All
ENSCAFG00000000621	All	Expressed-In-All
ENSCAFG00000000622	All	Expressed-In-All
ENSCAFG00000000627	All	Expressed-In-All
ENSCAFG00000000629	All	Expressed-In-All
ENSCAFG00000000636	All	Expressed-In-All
ENSCAFG00000000638	All	Expressed-In-All
ENSCAFG00000000642	All	Expressed-In-All
ENSCAFG00000000643	All	Expressed-In-All
ENSCAFG00000000644	All	Expressed-In-All
ENSCAFG00000000647	All	Expressed-In-All
ENSCAFG00000000649	All	Expressed-In-All
ENSCAFG00000000652	All	Expressed-In-All
ENSCAFG00000000654	All	Expressed-In-All
ENSCAFG00000000655	All	Expressed-In-All
ENSCAFG00000000657	All	Expressed-In-All
ENSCAFG00000000661	All	Expressed-In-All
ENSCAFG00000000663	All	Expressed-In-All
ENSCAFG00000000669	All	Expressed-In-All
ENSCAFG00000000671	All	Expressed-In-All
ENSCAFG00000000673	All	Expressed-In-All
ENSCAFG00000000674	All	Expressed-In-All
ENSCAFG00000000677	All	Expressed-In-All
ENSCAFG00000000679	All	Expressed-In-All
ENSCAFG00000000680	All	Expressed-In-All
ENSCAFG00000000688	All	Expressed-In-All
ENSCAFG00000000689	All	Expressed-In-All
ENSCAFG00000000690	All	Expressed-In-All
ENSCAFG00000000691	All	Expressed-In-All
ENSCAFG00000000692	All	Expressed-In-All
ENSCAFG00000000693	All	Expressed-In-All
ENSCAFG00000000694	All	Expressed-In-All
ENSCAFG00000000698	All	Expressed-In-All
ENSCAFG00000000702	All	Expressed-In-All
ENSCAFG00000000713	All	Expressed-In-All
ENSCAFG00000000714	All	Expressed-In-All
ENSCAFG00000000718	All	Expressed-In-All
ENSCAFG00000000719	All	Expressed-In-All
ENSCAFG00000000721	All	Expressed-In-All
ENSCAFG00000000732	All	Expressed-In-All
ENSCAFG00000000736	All	Expressed-In-All
ENSCAFG00000000737	All	Expressed-In-All
ENSCAFG00000000738	All	Expressed-In-All
ENSCAFG00000000745	All	Expressed-In-All
ENSCAFG00000000751	All	Expressed-In-All
ENSCAFG00000000752	All	Expressed-In-All
ENSCAFG00000000755	All	Expressed-In-All
ENSCAFG00000000756	All	Expressed-In-All
ENSCAFG00000000760	All	Expressed-In-All
ENSCAFG00000000761	All	Expressed-In-All
ENSCAFG00000000765	All	Expressed-In-All
ENSCAFG00000000766	All	Expressed-In-All
ENSCAFG00000000769	All	Expressed-In-All
ENSCAFG00000000771	All	Expressed-In-All
ENSCAFG00000000772	All	Expressed-In-All
ENSCAFG00000000774	All	Expressed-In-All
ENSCAFG00000000783	All	Expressed-In-All
ENSCAFG00000000784	All	Expressed-In-All
ENSCAFG00000000787	All	Expressed-In-All
ENSCAFG00000000788	All	Expressed-In-All
ENSCAFG00000000803	All	Expressed-In-All
ENSCAFG00000000811	All	Expressed-In-All
ENSCAFG00000000816	All	Expressed-In-All
ENSCAFG00000000821	All	Expressed-In-All
ENSCAFG00000000822	All	Expressed-In-All
ENSCAFG00000000824	All	Expressed-In-All
ENSCAFG00000000826	All	Expressed-In-All
ENSCAFG00000000830	All	Expressed-In-All
ENSCAFG00000000831	All	Expressed-In-All
ENSCAFG00000000832	All	Expressed-In-All
ENSCAFG00000000838	All	Expressed-In-All
ENSCAFG00000000840	All	Expressed-In-All
ENSCAFG00000000842	All	Expressed-In-All
ENSCAFG00000000847	All	Expressed-In-All
ENSCAFG00000000848	All	Expressed-In-All
ENSCAFG00000000850	All	Expressed-In-All
ENSCAFG00000000851	All	Expressed-In-All
ENSCAFG00000000856	All	Expressed-In-All
ENSCAFG00000000860	All	Expressed-In-All
ENSCAFG00000000865	All	Expressed-In-All
ENSCAFG00000000867	All	Expressed-In-All
ENSCAFG00000000869	All	Expressed-In-All
ENSCAFG00000000870	All	Expressed-In-All
ENSCAFG00000000871	All	Expressed-In-All
ENSCAFG00000000875	All	Expressed-In-All
ENSCAFG00000000885	All	Expressed-In-All
ENSCAFG00000000886	All	Expressed-In-All
ENSCAFG00000000887	All	Expressed-In-All
ENSCAFG00000000901	All	Expressed-In-All
ENSCAFG00000000905	All	Expressed-In-All
ENSCAFG00000000909	All	Expressed-In-All
ENSCAFG00000000912	All	Expressed-In-All
ENSCAFG00000000913	All	Expressed-In-All
ENSCAFG00000000917	All	Expressed-In-All
ENSCAFG00000000918	All	Expressed-In-All
ENSCAFG00000000919	All	Expressed-In-All
ENSCAFG00000000925	All	Expressed-In-All
ENSCAFG00000000926	All	Expressed-In-All
ENSCAFG00000000928	All	Expressed-In-All
ENSCAFG00000000930	All	Expressed-In-All
ENSCAFG00000000931	All	Expressed-In-All
ENSCAFG00000000933	All	Expressed-In-All
ENSCAFG00000000934	All	Expressed-In-All
ENSCAFG00000000935	All	Expressed-In-All
ENSCAFG00000000936	All	Expressed-In-All
ENSCAFG00000000938	All	Expressed-In-All
ENSCAFG00000000939	All	Expressed-In-All
ENSCAFG00000000940	All	Expressed-In-All
ENSCAFG00000000941	All	Expressed-In-All
ENSCAFG00000000945	All	Expressed-In-All
ENSCAFG00000000948	All	Expressed-In-All
ENSCAFG00000000950	All	Expressed-In-All
ENSCAFG00000000951	All	Expressed-In-All
ENSCAFG00000000953	All	Expressed-In-All
ENSCAFG00000000954	All	Expressed-In-All
ENSCAFG00000000955	All	Expressed-In-All
ENSCAFG00000000956	All	Expressed-In-All
ENSCAFG00000000958	All	Expressed-In-All
ENSCAFG00000000959	All	Expressed-In-All
ENSCAFG00000000963	All	Expressed-In-All
ENSCAFG00000000965	All	Expressed-In-All
ENSCAFG00000000967	All	Expressed-In-All
ENSCAFG00000000969	All	Expressed-In-All
ENSCAFG00000000972	All	Expressed-In-All
ENSCAFG00000000974	All	Expressed-In-All
ENSCAFG00000000977	All	Expressed-In-All
ENSCAFG00000000978	All	Expressed-In-All
ENSCAFG00000000981	All	Expressed-In-All
ENSCAFG00000000982	All	Expressed-In-All
ENSCAFG00000000983	All	Expressed-In-All
ENSCAFG00000000985	All	Expressed-In-All
ENSCAFG00000000986	All	Expressed-In-All
ENSCAFG00000000988	All	Expressed-In-All
ENSCAFG00000000989	All	Expressed-In-All
ENSCAFG00000000990	All	Expressed-In-All
ENSCAFG00000000992	All	Expressed-In-All
ENSCAFG00000000994	All	Expressed-In-All
ENSCAFG00000000998	All	Expressed-In-All
ENSCAFG00000001000	All	Expressed-In-All
ENSCAFG00000001004	All	Expressed-In-All
ENSCAFG00000001008	All	Expressed-In-All
ENSCAFG00000001013	All	Expressed-In-All
ENSCAFG00000001017	All	Expressed-In-All
ENSCAFG00000001018	All	Expressed-In-All
ENSCAFG00000001019	All	Expressed-In-All
ENSCAFG00000001020	All	Expressed-In-All
ENSCAFG00000001021	All	Expressed-In-All
ENSCAFG00000001022	All	Expressed-In-All
ENSCAFG00000001027	All	Expressed-In-All
ENSCAFG00000001028	All	Expressed-In-All
ENSCAFG00000001029	All	Expressed-In-All
ENSCAFG00000001030	All	Expressed-In-All
ENSCAFG00000001034	All	Expressed-In-All
ENSCAFG00000001038	All	Expressed-In-All
ENSCAFG00000001043	All	Expressed-In-All
ENSCAFG00000001044	All	Expressed-In-All
ENSCAFG00000001045	All	Expressed-In-All
ENSCAFG00000001047	All	Expressed-In-All
ENSCAFG00000001048	All	Expressed-In-All
ENSCAFG00000001049	All	Expressed-In-All
ENSCAFG00000001050	All	Expressed-In-All
ENSCAFG00000001053	All	Expressed-In-All
ENSCAFG00000001057	All	Expressed-In-All
ENSCAFG00000001058	All	Expressed-In-All
ENSCAFG00000001068	All	Expressed-In-All
ENSCAFG00000001070	All	Expressed-In-All
ENSCAFG00000001075	All	Expressed-In-All
ENSCAFG00000001076	All	Expressed-In-All
ENSCAFG00000001077	All	Expressed-In-All
ENSCAFG00000001086	All	Expressed-In-All
ENSCAFG00000001090	All	Expressed-In-All
ENSCAFG00000001092	All	Expressed-In-All
ENSCAFG00000001093	All	Expressed-In-All
ENSCAFG00000001094	All	Expressed-In-All
ENSCAFG00000001095	All	Expressed-In-All
ENSCAFG00000001096	All	Expressed-In-All
ENSCAFG00000001100	All	Expressed-In-All
ENSCAFG00000001101	All	Expressed-In-All
ENSCAFG00000001104	All	Expressed-In-All
ENSCAFG00000001114	All	Expressed-In-All
ENSCAFG00000001115	All	Expressed-In-All
ENSCAFG00000001120	All	Expressed-In-All
ENSCAFG00000001124	All	Expressed-In-All
ENSCAFG00000001125	All	Expressed-In-All
ENSCAFG00000001130	All	Expressed-In-All
ENSCAFG00000001132	All	Expressed-In-All
ENSCAFG00000001134	All	Expressed-In-All
ENSCAFG00000001136	All	Expressed-In-All
ENSCAFG00000001139	All	Expressed-In-All
ENSCAFG00000001142	All	Expressed-In-All
ENSCAFG00000001147	All	Expressed-In-All
ENSCAFG00000001149	All	Expressed-In-All
ENSCAFG00000001152	All	Expressed-In-All
ENSCAFG00000001154	All	Expressed-In-All
ENSCAFG00000001159	All	Expressed-In-All
ENSCAFG00000001166	All	Expressed-In-All
ENSCAFG00000001167	All	Expressed-In-All
ENSCAFG00000001172	All	Expressed-In-All
ENSCAFG00000001176	All	Expressed-In-All
ENSCAFG00000001177	All	Expressed-In-All
ENSCAFG00000001181	All	Expressed-In-All
ENSCAFG00000001186	All	Expressed-In-All
ENSCAFG00000001187	All	Expressed-In-All
ENSCAFG00000001191	All	Expressed-In-All
ENSCAFG00000001196	All	Expressed-In-All
ENSCAFG00000001198	All	Expressed-In-All
ENSCAFG00000001201	All	Expressed-In-All
ENSCAFG00000001205	All	Expressed-In-All
ENSCAFG00000001209	All	Expressed-In-All
ENSCAFG00000001211	All	Expressed-In-All
ENSCAFG00000001212	All	Expressed-In-All
ENSCAFG00000001213	All	Expressed-In-All
ENSCAFG00000001217	All	Expressed-In-All
ENSCAFG00000001219	All	Expressed-In-All
ENSCAFG00000001228	All	Expressed-In-All
ENSCAFG00000001229	All	Expressed-In-All
ENSCAFG00000001231	All	Expressed-In-All
ENSCAFG00000001232	All	Expressed-In-All
ENSCAFG00000001233	All	Expressed-In-All
ENSCAFG00000001234	All	Expressed-In-All
ENSCAFG00000001239	All	Expressed-In-All
ENSCAFG00000001254	All	Expressed-In-All
ENSCAFG00000001255	All	Expressed-In-All
ENSCAFG00000001277	All	Expressed-In-All
