GeneID	k_cluster	Gene name	Human gene stable ID	Human gene name	Mouse gene stable ID	Mouse gene name
ENSCAFG00000000008	1	TXNL4A	ENSG00000141759	TXNL4A	ENSMUSG00000057130	Txnl4a
ENSCAFG00000000012	4	ATP9B	ENSG00000166377	ATP9B	ENSMUSG00000024566	Atp9b
ENSCAFG00000000017	3	ZNF236	ENSG00000130856	ZNF236	ENSMUSG00000041258	Zfp236
ENSCAFG00000000022	2	ZNF407	ENSG00000215421	ZNF407	ENSMUSG00000048410	Zfp407
ENSCAFG00000000028	1	TIMM21	ENSG00000075336	TIMM21	ENSMUSG00000024645	Timm21
ENSCAFG00000000037	5	RTTN	ENSG00000176225	RTTN	ENSMUSG00000023066	Rttn
ENSCAFG00000000052	1	CDH19	ENSG00000071991	CDH19	ENSMUSG00000047216	Cdh19
ENSCAFG00000000064	1	CD63	ENSG00000135404	CD63	ENSMUSG00000025351	Cd63
ENSCAFG00000000070	3	PHLPP1	ENSG00000081913	PHLPP1	ENSMUSG00000044340	Phlpp1
ENSCAFG00000000080	0	PMEL	ENSG00000185664	PMEL	ENSMUSG00000025359	Pmel
ENSCAFG00000000082	0	CDK2	ENSG00000123374	CDK2	ENSMUSG00000025358	Cdk2
ENSCAFG00000000109	4	SMARCC2	ENSG00000139613	SMARCC2	ENSMUSG00000025369	Smarcc2
ENSCAFG00000000110	5	MYL6B	ENSG00000196465	MYL6B	ENSMUSG00000039824	Myl6b
ENSCAFG00000000113	4	ANKRD52	ENSG00000139645	ANKRD52	ENSMUSG00000014498	Ankrd52
ENSCAFG00000000119	0	PAN2	ENSG00000135473	PAN2	ENSMUSG00000005682	Pan2
ENSCAFG00000000130	3	SPRYD4	ENSG00000176422	SPRYD4	ENSMUSG00000051346	Spryd4
ENSCAFG00000000133	2	WDR7	ENSG00000091157	WDR7	ENSMUSG00000040560	Wdr7
ENSCAFG00000000134	4	RBMS2	ENSG00000076067	RBMS2	ENSMUSG00000040043	Rbms2
ENSCAFG00000000137	2	TXNL1	ENSG00000091164	TXNL1	ENSMUSG00000024583	Txnl1
ENSCAFG00000000141	1	NACA	ENSG00000196531	NACA	ENSMUSG00000061315	Naca
ENSCAFG00000000147	3	C1H18orf54	ENSG00000166845	C18orf54	ENSMUSG00000044906	4930503L19Rik
ENSCAFG00000000149	2	STARD6	ENSG00000174448	STARD6	ENSMUSG00000079608	Stard6
ENSCAFG00000000150	5	POLI	ENSG00000101751	POLI	ENSMUSG00000038425	Poli
ENSCAFG00000000158	5	HSD17B4	ENSG00000133835	HSD17B4	ENSMUSG00000024507	Hsd17b4
ENSCAFG00000000163	0	STAT6	ENSG00000166888	STAT6	ENSMUSG00000002147	Stat6
ENSCAFG00000000166	1	ELAC1	ENSG00000141642	ELAC1	ENSMUSG00000036941	Elac1
ENSCAFG00000000167	1	DMXL1	ENSG00000172869	DMXL1	ENSMUSG00000037416	Dmxl1
