GeneID	k_cluster	Gene name	Human gene stable ID	Human gene name	Mouse gene stable ID	Mouse gene name
ENSCAFG00000000013	9	SALL3	ENSG00000256463	SALL3	ENSMUSG00000024565	Sall3
ENSCAFG00000000065	2	GDF11	ENSG00000135414	GDF11	ENSMUSG00000025352	Gdf11
ENSCAFG00000000067	1	KDSR	ENSG00000119537	KDSR	ENSMUSG00000009905	Kdsr
ENSCAFG00000000068	3	BCL2	ENSG00000171791	BCL2	ENSMUSG00000057329	Bcl2
ENSCAFG00000000078	2	DGKA	ENSG00000065357	DGKA	ENSMUSG00000025357	Dgka
ENSCAFG00000000088	11	SUOX	ENSG00000139531	SUOX	ENSMUSG00000049858	Suox
ENSCAFG00000000094	7	LMAN1	ENSG00000074695	LMAN1	ENSMUSG00000041891	Lman1
ENSCAFG00000000097	10	ERBB3	ENSG00000065361	ERBB3	ENSMUSG00000018166	Erbb3
ENSCAFG00000000099	4	GRP	ENSG00000134443	GRP	ENSMUSG00000024517	Grp
ENSCAFG00000000100	0	SEC11C	ENSG00000166562	SEC11C	ENSMUSG00000024516	Sec11c
ENSCAFG00000000121	1	STAT2	ENSG00000170581	STAT2	ENSMUSG00000040033	Stat2
ENSCAFG00000000122	1	APOF	ENSG00000175336	APOF	ENSMUSG00000047631	Apof
ENSCAFG00000000123	10	ATP8B1	ENSG00000081923	ATP8B1	ENSMUSG00000039529	Atp8b1
ENSCAFG00000000127	1	ONECUT2	ENSG00000119547	ONECUT2	ENSMUSG00000045991	Onecut2
ENSCAFG00000000129	0	ST8SIA3	ENSG00000177511	ST8SIA3	ENSMUSG00000056812	St8sia3
ENSCAFG00000000131	11	GLS2	ENSG00000135423	GLS2	ENSMUSG00000044005	Gls2
ENSCAFG00000000156	4	MYO1A	ENSG00000166866	MYO1A	ENSMUSG00000025401	Myo1a
ENSCAFG00000000162	3	MEX3C	ENSG00000176624	MEX3C	ENSMUSG00000037253	Mex3c
ENSCAFG00000000168	2	ME2	ENSG00000082212	ME2	ENSMUSG00000024556	Me2
ENSCAFG00000000178	1	LRP1	ENSG00000123384	LRP1	ENSMUSG00000040249	Lrp1
ENSCAFG00000000194	1	INHBC	ENSG00000175189	INHBC	ENSMUSG00000025405	Inhbc
ENSCAFG00000000195	11	SHMT2	ENSG00000182199	SHMT2	ENSMUSG00000025403	Shmt2
ENSCAFG00000000199	3	LVRN	ENSG00000172901	LVRN	ENSMUSG00000024481	Lvrn
ENSCAFG00000000205	2	TCF21	ENSG00000118526	TCF21	ENSMUSG00000045680	Tcf21
ENSCAFG00000000206	1	CDO1	ENSG00000129596	CDO1	ENSMUSG00000033022	Cdo1
ENSCAFG00000000220	1	KCNN2	ENSG00000080709	KCNN2	ENSMUSG00000054477	Kcnn2
ENSCAFG00000000221	7	ALDH8A1	ENSG00000118514	ALDH8A1	ENSMUSG00000037542	Aldh8a1
ENSCAFG00000000228	7	TMED9	ENSG00000184840	TMED9	ENSMUSG00000058569	Tmed9
ENSCAFG00000000230	2	MYB	ENSG00000118513	MYB	ENSMUSG00000019982	Myb
ENSCAFG00000000247	10	MAP7	ENSG00000135525	MAP7	ENSMUSG00000019996	Map7
ENSCAFG00000000248	0	CLK4	ENSG00000113240	CLK4	ENSMUSG00000020385	Clk4
ENSCAFG00000000258	6	IL22RA2	ENSG00000164485	IL22RA2	ENSMUSG00000039760	Il22ra2
ENSCAFG00000000260	6	IFNGR1	ENSG00000027697	IFNGR1	ENSMUSG00000020009	Ifngr1
ENSCAFG00000000275	10	NHSL1	ENSG00000135540	NHSL1	ENSMUSG00000039835	Nhsl1
ENSCAFG00000000290	11	METTL1	ENSG00000037897	METTL1	ENSMUSG00000006732	Mettl1
ENSCAFG00000000322	6	STX11	ENSG00000135604	STX11	ENSMUSG00000039232	Stx11
ENSCAFG00000000334	5	ADAMTS2	ENSG00000087116	ADAMTS2	ENSMUSG00000036545	Adamts2
ENSCAFG00000000375	6	ZC3H12D	ENSG00000178199	ZC3H12D	ENSMUSG00000039981	Zc3h12d
ENSCAFG00000000386	1	ARG1	ENSG00000118520	ARG1	ENSMUSG00000019987	Arg1
ENSCAFG00000000398	3	LRP11	ENSG00000120256	LRP11	ENSMUSG00000019796	Lrp11
ENSCAFG00000000404	10	IYD	ENSG00000009765	IYD	ENSMUSG00000019762	Iyd
ENSCAFG00000000411	11	MRPS18B	ENSG00000204568	MRPS18B	ENSMUSG00000024436	Mrps18b
ENSCAFG00000000430	5	ESR1	ENSG00000091831	ESR1	ENSMUSG00000019768	Esr1
ENSCAFG00000000433	3	GFPT2	ENSG00000131459	GFPT2	ENSMUSG00000020363	Gfpt2
ENSCAFG00000000448	5	DDR1	ENSG00000204580	DDR1	ENSMUSG00000003534	Ddr1
ENSCAFG00000000450	4	TSPAN8	ENSG00000127324	TSPAN8	ENSMUSG00000034127	Tspan8
